TF	DF	WORD
259	223	four
259	174	spa
258	237	cheap
257	241	quiet
257	167	hyatt
256	226	qualiti
256	123	tea
255	230	closet
255	227	loop
255	220	guess
254	232	happen
254	222	20
254	217	boutiqu
253	239	screen
253	235	doe
253	224	serv
251	236	spot
250	237	ill
250	215	doubl
250	145	drake
249	224	downstair
248	226	consid
247	236	except
247	227	bring
247	198	husband
246	189	tabl
245	233	pier
245	228	flat
244	233	anyon
244	232	touch
243	228	watch
243	211	level
241	223	choic
240	230	navi
240	213	incred
239	214	complain
239	203	glass
239	199	cold
239	189	toilet
238	208	talk
238	207	loud
238	191	readi
237	224	middl
237	203	air
236	216	mind
236	210	rather
235	215	pleas
235	208	tub
234	197	bedroom
234	195	music
234	175	properti
233	202	fridg
231	166	rock
230	209	yet
230	146	westin
229	206	upon
228	208	face
228	199	design
228	197	insid
228	194	girl
227	216	gorgeou
225	212	done
224	212	attent
224	207	note
224	198	updat
224	185	sink
224	182	histor
223	206	must
223	192	luxuri
222	203	bath
222	195	read
222	193	receiv
222	172	machin
221	207	quick
220	200	attend
220	199	half
218	192	sound
217	200	15
217	193	stuff
216	148	palmer
215	208	product
215	163	kid
214	199	spent
214	197	6
213	198	red
211	189	relax
211	184	crowd
210	199	cours
209	198	gener
209	188	fan
209	178	notic
206	185	mini
206	142	secur
205	194	job
205	188	treat
204	189	ceil
204	188	kept
204	183	state
203	194	highli
203	185	basic
203	179	cover
202	188	starbuck
201	183	north
200	176	date
200	175	youll
200	164	rude
200	140	ice
199	185	hand
199	180	pick
198	184	favorit
198	181	slow
198	108	jame
197	187	past
197	177	main
196	168	store
196	166	chair
195	185	pleasant
194	167	member
194	167	connect
193	182	thin
193	174	style
193	164	sign
191	176	heard
191	175	real
189	179	saw
189	162	station
189	156	sheet
188	168	separ
188	158	group
188	158	public
187	175	profession
186	178	anyway
186	174	warm
186	161	carpet
185	174	wish
185	172	30
185	164	brought
185	126	wife
183	155	bill
183	153	holiday
182	166	tast
181	161	major
180	173	hope
179	170	wont
179	157	dark
179	154	wireless
178	168	annoy
178	147	convent
178	146	fee
177	169	miss
177	165	nearbi
177	127	marriott
176	167	abov
176	166	along
175	171	believ
175	170	heart
175	158	snack
175	145	terribl
174	164	lack
173	168	central
173	162	ride
173	149	cocktail
173	110	smoke
172	156	stand
171	169	beat
171	148	fix
171	145	checkout
170	160	werent
170	149	fresh
169	150	older
169	149	worst
169	137	tip
168	139	luggag
167	163	seen
167	156	save
166	157	grant
166	155	averag
166	151	month
166	140	okay
166	117	birthday
165	158	everywher
164	156	possibl
164	146	delici
164	145	pass
164	144	employe
164	143	select
163	153	suggest
163	152	due
161	154	rest
161	154	welcom
161	151	art
161	146	addit
161	146	appreci
160	150	horribl
160	143	suppos
159	151	millennium
159	150	fairli
159	144	wrong
159	131	pictur
159	114	ballroom
159	92	dana
158	150	valu
158	148	furnitur
157	148	alreadi
157	147	ago
157	143	type
156	143	five
156	141	hall
156	134	hold
155	146	smaller
155	142	compar
155	140	fast
155	139	con
155	130	seat
155	129	inform
154	141	knew
153	148	pricey
153	144	ridicul
153	136	50
152	145	allow
152	141	step
152	140	posit
152	137	play
151	135	grand
150	146	understand
150	144	dine
150	140	attract
150	130	menu
149	139	serious
149	135	detail
149	126	hotwir
148	140	drive
148	137	12
148	135	quickli
148	134	safe
148	129	offic
148	118	credit
147	144	somewher
147	131	soft
146	142	twice
146	141	throughout
146	138	pressur
146	133	saturday
146	133	situat
146	123	boyfriend
145	141	cozi
145	138	anywher
145	136	question
145	132	pro
145	131	fabul
145	128	rememb
144	136	24
144	132	base
144	124	number
144	124	bartend
144	123	white
143	134	prefer
143	133	sort
143	130	man
142	133	site
142	127	ladi
142	118	buffet
141	132	list
141	128	suck
141	120	queen
140	136	unfortun
140	130	bother
139	132	enter
139	129	hang
139	126	chain
139	124	weird
139	124	tourist
138	122	blue
138	113	heat
137	135	unless
137	131	life
137	124	yelp
137	122	dirti
136	126	charm
136	125	neg
136	124	100
136	122	compani
136	120	singl
136	119	hair
135	125	easili
135	113	buck
134	122	poor
133	127	typic
133	124	otherwis
133	121	world
133	113	onlin
133	109	pm
132	126	afford
132	124	immedi
132	123	websit
132	121	appar
132	120	sometim
132	118	eleg
131	118	behind
131	117	comput
131	116	neighbor
131	116	curtain
131	116	histori
130	120	appoint
130	119	despit
130	118	gold
130	117	idea
130	112	dollar
130	111	chocol
130	110	ac
130	104	item
129	125	slept
129	123	bare
129	120	interest
129	118	low
128	121	ton
128	121	hit
128	121	continent
128	120	write
128	115	equip
127	115	roll
127	114	entranc
126	119	certainli
126	117	beyond
126	110	garag
125	120	greet
125	117	realiz
125	115	sent
125	111	paper
125	106	mirror
124	119	direct
124	113	deliv
124	112	liter
124	111	cute
124	101	email
124	87	sheraton
123	115	fill
123	114	regular
123	112	facil
123	109	pull
122	120	nicer
122	117	figur
122	113	toiletri
122	107	taxi
121	119	matter
121	114	import
121	108	meal
120	115	amount
120	114	trendi
120	110	couch
120	105	vacat
119	111	discount
119	108	cooki
119	104	celebr
119	102	l
118	112	imagin
118	107	45
118	106	theyr
118	97	egg
117	111	overpr
117	102	south
117	56	massag
116	112	taken
116	107	normal
116	104	fanci
116	99	apart
116	99	broken
116	94	woman
115	112	system
115	107	interior
115	99	maid
114	112	word
114	111	courteou
114	108	case
114	107	bigger
114	107	local
114	105	knock
114	103	hip
114	96	bu
114	76	kimpton
113	111	chanc
113	106	simpli
113	101	speak
113	100	apolog
112	104	friday
112	99	lost
112	91	channel
112	91	execut
111	105	neighborhood
111	105	classi
111	95	paint
111	93	afternoon
111	87	mattress
111	66	ritz
110	108	atmospher
110	105	linen
110	101	featur
109	105	overlook
109	103	8
109	95	wow
109	94	motel
108	105	sweet
108	96	maker
108	95	explain
108	92	print
108	68	allegro
107	104	soon
107	100	flight
107	98	answer
107	98	overnight
107	92	follow
107	67	allerton
106	101	crazi
106	98	yeah
105	103	share
105	102	goe
105	101	larger
105	95	moment
105	95	sunday
104	100	40
104	99	fall
104	99	7
104	96	drop
104	95	cater
104	78	packag
104	72	parent
103	98	polit
103	98	avoid
103	78	plaza
103	63	felix
102	97	counter
102	95	hate
102	84	dress
101	98	spectacular
101	97	higher
101	97	el
101	97	alon
101	96	25
101	95	noisi
101	95	truli
101	94	chose
101	59	mom
100	97	summer
100	96	cheaper
100	95	microwav
100	94	fruit
100	93	condit
100	89	youd
99	96	arent
99	93	via
99	93	choos
99	87	lunch
98	98	surround
98	94	whatev
98	92	effici
98	92	200
98	91	directli
98	90	brand
98	90	minibar
98	87	soap
98	87	function
98	86	respons
98	86	museum
98	63	cake
97	93	comment
97	93	architectur
97	92	aw
97	90	age
97	77	anniversari
96	93	pack
96	89	often
96	87	shampoo
96	86	odd
96	84	weight
96	58	embassi
96	49	congress
95	89	ad
95	85	doorman
95	83	color
95	79	remodel
95	70	min
94	91	agre
94	90	millenium
94	88	add
94	88	mix
94	87	stuck
94	81	st
94	79	season
94	69	iron
93	92	downsid
93	91	remind
93	89	rain
93	87	class
93	85	condition
93	85	sorri
93	84	rush
93	71	lakeshor
93	69	intercontinent
92	88	lower
92	87	transport
92	85	appear
92	84	send
92	84	ipod
92	83	outdat
92	83	third
92	82	budget
92	81	kinda
92	81	tour
92	80	classic
92	74	chees
91	90	stori
91	88	grab
91	87	experienc
91	87	forget
91	84	slightli
91	78	bliss
91	65	sandwich
90	88	lucki
90	87	held
90	86	airport
90	86	mine
90	84	folk
90	83	encount
89	81	convers
89	81	clearli
89	80	piec
89	77	movi
89	76	hospit
89	75	young
89	73	robe
89	69	clerk
89	66	venu
88	85	obvious
88	82	advantag
88	79	bell
88	78	stain
88	76	cup
87	83	accomod
87	83	outstand
87	82	wake
87	81	upscal
87	79	game
86	85	besid
86	85	mag
85	81	35
85	80	stock
85	79	winter
85	79	perfectli
85	76	switch
84	83	vibe
84	82	glad
84	82	hancock
84	81	uncomfort
84	80	catch
84	80	attach
84	78	honestli
84	76	host
84	76	photo
84	72	beer
84	70	champagn
84	65	lock
83	83	futur
83	83	havent
83	81	chic
83	80	contemporari
83	78	cloth
83	77	contact
83	71	girlfriend
83	69	pizza
83	67	danc
82	78	biggest
82	76	hop
82	75	begin
82	74	black
82	74	excit
82	74	roof
82	73	origin
82	73	appet
81	79	met
81	75	confus
81	74	buy
81	70	cabl
81	61	starwood
80	79	rel
80	77	eye
80	76	limit
80	76	clear
80	74	board
80	73	uniqu
79	78	pleasur
79	76	getaway
79	75	worri
79	75	forgot
79	73	process
79	73	west
79	73	cafe
79	70	school
78	76	wors
78	76	bright
78	74	empti
78	74	elsewher
78	73	throw
78	70	prepar
78	64	replac
77	76	somewhat
77	75	luckili
77	73	simpl
77	73	explor
77	71	workout
77	63	confirm
77	49	71
76	76	institut
76	75	cramp
76	72	true
76	71	gone
76	71	strang
76	71	pain
76	70	initi
76	70	tax
76	70	feet
76	67	romant
76	56	pet
76	54	bug
75	72	perhap
75	65	temperatur
75	62	program
75	52	fairmont
74	74	exactli
74	73	bottom
74	72	forward
74	72	furnish
74	72	east
74	71	indoor
74	70	ate
74	70	smile
74	68	concern
74	68	handl
74	67	advanc
74	67	theme
74	62	martini
74	62	gift
74	57	ticket
74	56	la
74	54	dog
73	71	district
73	70	consist
73	70	doormen
73	70	none
73	69	bathtub
73	67	refriger
73	67	men
73	67	green
73	64	attitud
73	58	rooftop
73	57	disturb
73	53	sister
72	70	weather
72	70	frequent
72	69	hell
72	69	finish
72	68	dri
72	66	construct
72	65	laptop
72	49	amalfi
71	71	tire
71	69	bonu
71	68	rent
71	67	juic
71	66	toward
71	66	continu
71	65	activ
71	65	maintain
71	65	togeth
71	64	11
71	54	coordin
71	48	regenc
70	67	control
70	66	hey
70	65	arrang
70	64	gross
70	64	privat
70	64	forev
70	63	longer
70	59	account
70	58	sofa
70	47	cancel
69	67	woke
69	67	sens
69	66	break
69	65	solid
69	63	wear
69	62	server
69	61	plug
69	61	ambianc
69	60	midnight
69	57	balconi
68	66	layout
68	61	accept
68	61	wash
68	59	steak
67	62	post
67	60	assist
67	60	coast
67	55	shuttl
67	50	nonsmok
66	65	fair
66	64	specif
66	63	adequ
66	62	mess
66	62	upstair
66	60	particularli
66	60	inroom
66	57	mainten
65	64	foot
65	63	occas
65	62	inconveni
65	62	whenev
65	61	earlier
65	60	90
65	60	damn
65	59	joke
65	59	2nd
65	59	spoke
65	57	degre
65	57	box
65	56	stair
65	56	previou
65	54	bellman
65	53	heavenli
64	63	ohar
64	61	proxim
64	61	particular
64	60	cleanli
64	60	term
64	60	subway
64	59	plate
64	59	blow
64	59	minor
64	58	self
64	57	chip
64	51	chicken
64	41	omni
63	63	asid
63	63	difficult
63	62	ideal
63	62	wast
63	62	straight
63	61	describ
63	60	god
63	60	wet
63	60	field
63	60	multipl
63	59	caus
63	59	stylish
63	58	requir
63	58	prime
63	49	flush
62	61	crappi
62	59	worn
62	59	common
62	57	sat
62	57	ground
62	57	tasti
62	57	bunch
62	56	80
62	56	beach
62	53	wood
62	43	refund
61	61	warn
61	60	varieti
61	60	notch
61	60	luck
61	59	nearli
61	59	plush
61	58	juli
61	58	dime
61	58	hadnt
61	55	brown
61	54	honor
61	53	slide
61	47	mccormick
60	59	fault
60	57	discov
60	57	cta
60	57	theater
60	56	300
60	54	perk
60	54	bodi
60	49	ws
59	59	prior
59	57	traffic
59	53	televis
59	51	women
59	49	shoe
59	48	salad
58	58	themselv
58	57	deep
58	56	treadmil
58	56	mostli
58	55	soo
58	55	shut
58	55	sight
58	55	bagel
58	55	onto
58	54	certain
58	54	kitchen
58	54	dish
58	54	marbl
58	54	joe
58	53	daili
58	52	ran
58	52	express
58	49	organ
58	40	fianc
57	55	ball
57	54	gotten
57	54	awkward
57	53	unit
57	53	exampl
57	53	boy
57	50	mistak
57	50	expedia
57	44	mart
56	55	becom
56	55	tend
56	55	prompt
56	55	ahead
56	53	wallpap
56	52	pastri
56	50	fire
56	50	opt
56	49	fail
56	47	lol
56	35	victor
55	55	popular
55	53	whether
55	52	fixtur
55	51	promis
55	51	remov
55	46	wire
55	43	drain
54	54	troubl
54	53	pleasantli
54	53	scene
54	53	dock
54	52	built
54	52	listen
54	51	opinion
54	51	disgust
54	50	rang
54	48	cash
54	47	treatment
54	47	lamp
54	41	daughter
53	52	known
53	52	ourselv
53	50	spread
53	50	trader
53	49	cut
53	49	oper
53	49	giant
53	48	corpor
53	48	60
53	48	strong
52	52	entertain
52	52	swanki
52	51	john
52	51	funni
52	51	fell
52	51	terrif
52	50	clock
52	50	act
52	50	aveda
52	49	improv
52	49	advertis
52	48	forc
52	48	na
52	47	alarm
52	46	remot
52	46	marri
52	45	bellhop
52	45	dessert
52	42	appl
52	31	burnham
51	51	invit
51	50	properli
51	49	meant
51	49	attempt
51	49	statu
51	49	memor
51	48	carri
51	48	dream
51	48	babi
51	47	rare
51	47	70
51	47	stick
51	46	bread
51	46	deliveri
51	45	crap
51	44	swim
51	42	bc
51	42	banquet
50	49	surprisingli
50	49	learn
50	49	depend
50	49	today
50	48	laid
50	48	grill
50	47	sleek
50	47	chill
50	46	reach
50	46	tall
50	46	speed
50	44	everyday
50	44	18
50	43	depart
50	43	alcohol
50	41	drunk
50	41	bang
50	39	strike
50	38	son
50	36	transfer
50	34	groupon
49	49	satisfi
49	49	similar
49	48	assum
49	48	2011
49	48	par
49	48	youv
49	46	fulli
49	46	fashion
49	45	neat
49	45	fountain
49	44	track
49	43	drawer
49	41	button
48	48	natur
48	48	frustrat
48	48	industri
48	47	desir
48	45	suppli
48	45	respond
48	45	weve
48	45	score
48	45	christma
48	44	setup
48	43	brunch
48	43	yell
48	43	sale
48	41	mold
48	39	american
48	34	bf
48	31	soup
47	47	tile
47	47	roomi
47	47	lit
47	46	newli
47	46	peel
47	45	adjust
47	45	extend
47	44	outdoor
47	43	hole
47	43	cell
47	42	scream
47	42	market
47	42	150
47	41	mother
47	40	bike
47	37	bride
46	46	touristi
46	46	9
46	46	yummi
46	46	4th
46	45	mediocr
46	45	walgreen
46	45	sear
46	45	lead
46	45	superb
46	45	sexi
46	44	sad
46	44	skylin
46	44	13
46	43	worker
46	43	memori
46	43	purpos
46	43	current
46	43	purchas
46	43	toast
46	42	comp
46	42	screw
46	40	minu
46	40	rip
46	40	shade
46	38	blanket
46	34	sushi
45	45	needless
45	45	practic
45	45	fortun
45	45	doubt
45	45	random
45	45	knowledg
45	45	admit
45	44	crash
45	44	impecc
45	44	refresh
45	44	seriou
45	43	mark
45	43	inch
45	42	dresser
45	42	wide
45	42	privaci
45	42	staycat
45	41	effort
45	41	count
45	37	courtyard
45	36	voucher
44	44	nicest
44	43	favor
44	43	theyd
44	42	suitcas
44	42	tight
44	42	shock
44	42	shouldnt
44	42	load
44	42	present
44	41	beverag
44	41	road
44	41	establish
44	41	equal
44	40	bank
44	40	dead
44	39	signal
44	39	n
44	38	spring
44	36	atrium
44	34	report
44	33	coat
43	43	schedul
43	42	charact
43	42	hassl
43	41	3rd
43	41	freak
43	41	delight
43	40	western
43	40	round
43	40	picki
43	39	refus
43	39	orang
43	39	lotion
43	39	trump
43	39	pot
43	38	rental
43	38	freez
43	38	funki
43	34	messag
43	27	whitehal
42	42	lay
42	42	closer
42	42	result
42	41	hung
42	41	sell
42	40	cereal
42	40	settl
42	40	hook
42	39	crack
42	39	cream
42	39	regard
42	38	massiv
42	38	strawberri
42	37	creepi
42	37	cowork
42	37	garden
42	37	alot
42	36	receptionist
42	36	children
42	36	outlet
42	35	trash
42	34	coupon
42	34	cook
42	29	doubletre
41	41	upper
41	41	numer
41	40	awar
41	40	match
41	39	push
41	39	transit
41	39	wrigley
41	39	fare
41	39	potato
41	39	ie
41	39	six
41	39	compliment
41	39	bacon
41	39	tray
41	38	portion
41	38	power
41	38	75
41	36	shore
41	35	wouldv
41	33	ceremoni
41	32	crown
41	32	soda
41	26	hampton
40	40	factor
40	40	constantli
40	39	combin
40	39	research
40	39	eventu
40	38	address
40	38	bowl
40	38	exercis
40	38	wander
40	37	team
40	36	narrow
40	36	hundr
40	35	noon
40	34	hr
40	33	lincoln
40	32	section
40	30	wit
40	29	nye
40	29	dj
40	26	indigo
39	39	shot
39	39	die
39	39	action
39	39	privileg
39	39	smooth
39	38	minim
39	38	brick
39	38	skip
39	38	handi
39	38	vega
39	38	hello
39	37	makeup
39	37	squar
39	37	storag
39	37	panel
39	37	adjac
39	37	excus
39	37	bewar
39	37	stun
39	37	tradit
39	36	imposs
39	36	bellmen
39	36	landmark
39	35	dryer
39	35	david
39	34	slam
39	31	brother
39	29	vertigo
38	38	cheapest
38	38	dump
38	38	lcd
38	38	posh
38	38	countri
38	37	drawback
38	37	respect
38	37	hesit
38	37	wacker
38	37	destin
38	37	insan
38	36	deserv
38	36	june
38	36	ten
38	36	bite
38	35	assur
38	35	leftov
38	35	kick
38	35	zero
38	35	dingi
38	33	tag
38	33	polici
38	31	alley
38	30	heater
38	29	colleagu
37	37	2010
37	37	french
37	37	windi
37	37	unlik
37	37	somehow
37	37	famou
37	37	pop
37	36	bore
37	36	jump
37	36	breathtak
37	35	dude
37	35	kiehl
37	34	spotless
37	34	donut
37	34	deck
37	34	york
37	34	pretenti
37	34	sauna
37	33	san
37	30	minifridg
37	30	spg
37	30	ecofriendli
37	23	knickerbock
36	36	sadli
36	36	promptli
36	35	genuin
36	35	wtf
36	35	arm
36	35	chitown
36	35	claim
36	35	newer
36	35	nyc
36	34	sky
36	34	stare
36	33	search
36	33	variou
36	33	stress
36	33	quaint
36	31	rack
36	31	waiter
36	31	flower
36	30	entri
36	30	promot
36	30	omelet
36	30	eve
35	35	weak
35	35	outrag
35	35	250
35	34	btw
35	34	blast
35	34	tad
35	34	leg
35	34	cross
35	34	decis
35	34	visitor
35	34	fluffi
35	34	ass
35	34	phenomen
35	33	meh
35	33	ruin
35	33	nickel
35	32	plain
35	32	form
35	32	gon
35	31	driver
35	31	lap
35	31	colleg
35	31	social
35	30	thermostat
35	30	handicap
35	29	peninsula
35	27	platinum
35	27	haunt
34	34	path
34	34	trust
34	34	peac
34	34	shine
34	34	shape
34	33	sleeper
34	33	flatscreen
34	33	sold
34	33	sun
34	33	appeal
34	33	5th
34	33	cardio
34	32	firm
34	32	1st
34	32	written
34	32	compens
34	32	pancak
34	32	anymor
34	32	court
34	31	joint
34	31	liquor
34	30	thursday
34	27	4star
34	27	burger
34	26	theatr
34	25	carlton
34	18	talbott
33	33	opportun
33	33	ps
33	33	gem
33	33	sightse
33	33	bought
33	33	miracl
33	33	lie
33	33	interact
33	33	supposedli
33	32	ignor
33	32	theyll
33	32	fri
33	32	rave
33	32	tacki
33	32	navig
33	32	14
33	31	milk
33	31	belong
33	31	lollapalooza
33	31	stupid
33	31	land
33	31	planner
33	30	burn
33	30	oatmeal
33	30	ear
33	30	ta
33	30	2009
33	30	commun
33	29	metro
33	29	non
33	28	news
33	27	waitress
33	25	incident
33	20	dad
32	32	effect
32	32	lose
32	32	highlight
32	32	thick
32	31	inde
32	31	advic
32	31	buse
32	31	cart
32	31	gripe
32	31	european
32	31	closest
32	31	stuffi
32	31	join
32	31	55
32	31	creat
32	30	overli
32	30	shame
32	30	essenti
32	30	bucket
32	30	penthous
32	30	ventur
32	29	proceed
32	29	resolv
32	29	ensur
32	29	15th
32	28	b
32	28	upset
32	28	oak
32	28	bargain
32	27	wing
32	26	cd
32	24	partner
32	19	sutton
31	31	unbeliev
31	31	kudo
31	31	exterior
31	31	bet
31	31	march
31	31	bathrob
31	31	magic
31	31	hail
31	31	lazi
31	30	plastic
31	30	hidden
31	30	period
31	30	meat
31	30	aspect
31	29	faucet
31	29	groceri
31	29	hd
31	29	jacuzzi
31	29	octob
31	28	manner
31	28	secret
31	28	drove
31	28	steal
31	28	def
31	27	bachelorett
31	27	midway
31	27	valentin
31	27	engin
31	26	beef
31	24	wallet
31	23	minimum
31	23	essex
31	21	travelodg
30	30	stood
30	30	asleep
30	30	becam
30	30	caught
30	29	altern
30	29	fli
30	29	shabbi
30	29	tap
30	29	500
30	29	sausag
30	29	theyv
30	29	reflect
30	29	yelper
30	28	defin
30	28	lakefront
30	28	assign
30	28	siren
30	28	till
30	28	bakeri
30	28	merchandis
30	28	client
30	28	laugh
30	27	april
30	27	approach
30	27	nobodi
30	27	restroom
30	27	mainli
30	26	leak
30	26	adjoin
30	26	devic
30	25	thru
30	25	agent
30	24	acura
30	23	flavor
30	23	marathon
29	29	extens
29	29	cheer
29	29	former
29	29	patron
29	29	exceed
29	29	hmm
29	29	honest
29	29	cleaner
29	29	player
29	29	condo
29	29	immacul
29	29	nowher
29	29	breez
29	28	pub
29	28	deco
29	28	vaniti
29	28	smack
29	28	heavi
29	28	ellipt
29	28	italian
29	28	info
29	27	adult
29	27	union
29	27	alright
29	27	yogurt
29	27	soak
29	27	draw
29	27	engag
29	27	consider
29	26	leather
29	26	3pm
29	26	steam
29	26	lame
29	26	overs
29	26	heaven
29	25	nail
29	23	cigarett
29	22	vehicl
29	22	kiosk
29	21	premium
29	15	seneca
28	28	stellar
28	28	muffin
28	28	split
28	28	topnotch
28	28	nightli
28	28	400
28	28	eager
28	28	bump
28	27	resid
28	27	bridal
28	27	refil
28	27	indic
28	27	slip
28	27	steakhous
28	27	began
28	27	walkabl
28	26	28
28	26	dim
28	26	perform
28	26	rais
28	26	crew
28	26	jazz
28	26	turndown
28	25	drag
28	25	harri
28	25	web
28	25	gentleman
28	25	enorm
28	24	skin
28	24	page
28	23	soldier
28	22	printer
28	22	owner
28	20	honeymoon
28	20	vodka
28	18	u
28	16	parlor
28	15	locker
27	27	exist
27	27	festiv
27	27	environ
27	27	chandeli
27	27	oddli
27	26	spray
27	26	safeti
27	26	rout
27	26	delux
27	26	stone
27	26	tuck
27	26	repeat
27	26	fireplac
27	25	press
27	25	shit
27	25	showerhead
27	25	11pm
27	25	potenti
27	25	bean
27	25	minimalist
27	24	band
27	24	advis
27	24	scone
27	24	vend
27	24	dvd
27	24	blind
27	24	shutter
27	24	escal
27	24	concept
27	24	app
27	23	pour
27	22	cousin
27	21	file
27	20	damag
27	19	silversmith
27	16	quinta
27	13	valid
27	13	facial
26	26	grace
26	26	vent
26	26	thrill
